Bandit,Reward,Algorithm
3.0,4.047263887358975,EpsilonGreedy
3.0,4.43646642829392,EpsilonGreedy
3.0,6.2584166528611345,EpsilonGreedy
3.0,4.555731668543119,EpsilonGreedy
3.0,4.137517258570169,EpsilonGreedy
3.0,3.556696209506506,EpsilonGreedy
3.0,4.231280702288377,EpsilonGreedy
3.0,3.1982996627038887,EpsilonGreedy
3.0,4.586770140239523,EpsilonGreedy
3.0,4.2820037914994025,EpsilonGreedy
3.0,2.7487434243856406,EpsilonGreedy
3.0,5.227561280291057,EpsilonGreedy
3.0,2.6702406496040663,EpsilonGreedy
3.0,5.0975661288039245,EpsilonGreedy
3.0,3.4621744877262306,EpsilonGreedy
3.0,4.378093467135579,EpsilonGreedy
3.0,4.117075218331691,EpsilonGreedy
3.0,4.89819609110266,EpsilonGreedy
3.0,3.890129118366469,EpsilonGreedy
3.0,3.394040807799186,EpsilonGreedy
3.0,2.001010683574388,EpsilonGreedy
3.0,3.933945328848794,EpsilonGreedy
3.0,4.728370554355163,EpsilonGreedy
3.0,3.8276576590234987,EpsilonGreedy
3.0,4.9331814369413705,EpsilonGreedy
3.0,4.776494661404792,EpsilonGreedy
3.0,5.458162802611705,EpsilonGreedy
3.0,4.064919238032165,EpsilonGreedy
3.0,2.975822324139398,EpsilonGreedy
3.0,3.973298508888158,EpsilonGreedy
3.0,3.0662386849563523,EpsilonGreedy
3.0,5.1622183115274645,EpsilonGreedy
3.0,3.6630884766940066,EpsilonGreedy
3.0,5.409730696489906,EpsilonGreedy
3.0,4.751581152723084,EpsilonGreedy
3.0,6.782889089751755,EpsilonGreedy
3.0,4.120235037971504,EpsilonGreedy
3.0,3.0563399024735953,EpsilonGreedy
3.0,3.5313933767601577,EpsilonGreedy
3.0,3.187462984681174,EpsilonGreedy
3.0,3.1116980007736785,EpsilonGreedy
3.0,3.7254783815517367,EpsilonGreedy
3.0,4.615797688384975,EpsilonGreedy
3.0,3.569253091028072,EpsilonGreedy
3.0,4.161524722002542,EpsilonGreedy
3.0,5.803222574698154,EpsilonGreedy
3.0,4.1839311425982295,EpsilonGreedy
3.0,4.094697866889257,EpsilonGreedy
3.0,3.366501785681196,EpsilonGreedy
3.0,3.064102250069681,EpsilonGreedy
3.0,5.309046415358648,EpsilonGreedy
3.0,5.82436454692942,EpsilonGreedy
3.0,4.717401074968468,EpsilonGreedy
3.0,5.7533560585012475,EpsilonGreedy
3.0,3.974542381199524,EpsilonGreedy
3.0,2.2116231487883766,EpsilonGreedy
3.0,3.398876430615015,EpsilonGreedy
3.0,4.519277605148186,EpsilonGreedy
3.0,2.5907735790166444,EpsilonGreedy
3.0,3.821933532027854,EpsilonGreedy
3.0,3.4768677617859023,EpsilonGreedy
3.0,2.7524856937053808,EpsilonGreedy
3.0,5.467218297998815,EpsilonGreedy
3.0,3.381473042435456,EpsilonGreedy
3.0,5.52697024277523,EpsilonGreedy
3.0,4.190338996787904,EpsilonGreedy
3.0,3.678946711727209,EpsilonGreedy
3.0,4.474217524458263,EpsilonGreedy
3.0,3.807548282064087,EpsilonGreedy
3.0,3.9385529075611267,EpsilonGreedy
3.0,3.1092221559206754,EpsilonGreedy
3.0,5.3128535347752806,EpsilonGreedy
3.0,4.13705598202297,EpsilonGreedy
3.0,2.37439063811523,EpsilonGreedy
3.0,5.403311937483949,EpsilonGreedy
3.0,5.219503841937596,EpsilonGreedy
3.0,1.9169777958443328,EpsilonGreedy
3.0,4.785573095229385,EpsilonGreedy
3.0,3.7572409657112025,EpsilonGreedy
3.0,4.053390554815005,EpsilonGreedy
3.0,4.240880050053606,EpsilonGreedy
3.0,4.401215965781623,EpsilonGreedy
3.0,4.506291627522501,EpsilonGreedy
3.0,4.345196952501141,EpsilonGreedy
3.0,4.623055457314304,EpsilonGreedy
3.0,4.62895071662329,EpsilonGreedy
3.0,3.932159743344893,EpsilonGreedy
3.0,4.203336302715937,EpsilonGreedy
3.0,4.868746818806662,EpsilonGreedy
3.0,3.4447056810803747,EpsilonGreedy
3.0,3.033996324596387,EpsilonGreedy
3.0,5.5565763806267965,EpsilonGreedy
3.0,3.1831860600181807,EpsilonGreedy
3.0,4.207124867564718,EpsilonGreedy
3.0,4.0556516447884015,EpsilonGreedy
3.0,3.1781273219785042,EpsilonGreedy
3.0,3.05523433959371,EpsilonGreedy
3.0,5.448800555921665,EpsilonGreedy
3.0,4.994455504957895,EpsilonGreedy
3.0,2.720076951857087,EpsilonGreedy
3.0,3.0671273438376847,EpsilonGreedy
3.0,2.8078857836289135,EpsilonGreedy
3.0,3.5685779982135406,EpsilonGreedy
3.0,4.638997059468677,EpsilonGreedy
3.0,5.355626314525447,EpsilonGreedy
3.0,5.705249265495221,EpsilonGreedy
3.0,4.371965479081809,EpsilonGreedy
3.0,4.799333324254038,EpsilonGreedy
3.0,3.486750436482655,EpsilonGreedy
3.0,4.641496175726333,EpsilonGreedy
3.0,3.704204524702689,EpsilonGreedy
3.0,2.0509329818016666,EpsilonGreedy
3.0,3.834024231128227,EpsilonGreedy
3.0,5.4444184007882654,EpsilonGreedy
3.0,3.7638667217015724,EpsilonGreedy
3.0,3.917744362275161,EpsilonGreedy
3.0,2.407572347167287,EpsilonGreedy
3.0,2.833605034826209,EpsilonGreedy
3.0,3.702062388364958,EpsilonGreedy
3.0,4.403076041058308,EpsilonGreedy
3.0,3.697223067975373,EpsilonGreedy
3.0,2.86764895686303,EpsilonGreedy
3.0,5.057875795983598,EpsilonGreedy
3.0,1.522925309167988,EpsilonGreedy
3.0,4.604760998074895,EpsilonGreedy
3.0,4.165065783366153,EpsilonGreedy
3.0,4.725371757289252,EpsilonGreedy
3.0,4.299058293736204,EpsilonGreedy
3.0,3.535947650077436,EpsilonGreedy
3.0,3.1325969006174303,EpsilonGreedy
3.0,3.9326349207237117,EpsilonGreedy
3.0,5.269251643361409,EpsilonGreedy
3.0,4.772854623081382,EpsilonGreedy
3.0,2.4760839142687456,EpsilonGreedy
3.0,5.172574876506509,EpsilonGreedy
3.0,3.621096237150044,EpsilonGreedy
3.0,4.947212291375443,EpsilonGreedy
3.0,4.086646436279999,EpsilonGreedy
3.0,4.358115587967821,EpsilonGreedy
3.0,3.8359901792948055,EpsilonGreedy
3.0,4.804074360140245,EpsilonGreedy
3.0,4.325346229638416,EpsilonGreedy
3.0,6.1875675249650275,EpsilonGreedy
3.0,3.3560221772247427,EpsilonGreedy
3.0,5.537153804620582,EpsilonGreedy
3.0,2.1371648028420953,EpsilonGreedy
3.0,3.116126503633115,EpsilonGreedy
3.0,4.166958576508907,EpsilonGreedy
3.0,5.712402070990423,EpsilonGreedy
3.0,4.080222809246602,EpsilonGreedy
3.0,2.8743377523287874,EpsilonGreedy
3.0,1.9638814077564457,EpsilonGreedy
3.0,2.8096307136690912,EpsilonGreedy
3.0,3.5224227917468447,EpsilonGreedy
3.0,5.019232375980934,EpsilonGreedy
3.0,4.068103833530497,EpsilonGreedy
3.0,5.037497959864744,EpsilonGreedy
3.0,3.601418381292788,EpsilonGreedy
3.0,1.5101519978814641,EpsilonGreedy
3.0,3.3776993959460615,EpsilonGreedy
3.0,3.3909855443336943,EpsilonGreedy
3.0,4.010913439769526,EpsilonGreedy
3.0,5.363221181183311,EpsilonGreedy
3.0,3.9907473399567475,EpsilonGreedy
3.0,6.525229511675233,EpsilonGreedy
3.0,4.76343206719253,EpsilonGreedy
3.0,4.715000808894465,EpsilonGreedy
3.0,6.140275449854963,EpsilonGreedy
3.0,6.286800990844016,EpsilonGreedy
3.0,5.285793421719866,EpsilonGreedy
3.0,4.358219492543003,EpsilonGreedy
1.0,0.5534925848556869,EpsilonGreedy
3.0,3.256541597884437,EpsilonGreedy
3.0,6.150767543155952,EpsilonGreedy
3.0,4.357312887747724,EpsilonGreedy
3.0,5.162893501232395,EpsilonGreedy
3.0,4.5171221870407035,EpsilonGreedy
3.0,3.642757881100871,EpsilonGreedy
3.0,5.315315961071904,EpsilonGreedy
3.0,3.4975187946635007,EpsilonGreedy
3.0,4.0939319110944705,EpsilonGreedy
3.0,5.069817903901832,EpsilonGreedy
3.0,3.513943744763554,EpsilonGreedy
3.0,4.602601646808563,EpsilonGreedy
3.0,4.496806074441604,EpsilonGreedy
3.0,3.7812901855102985,EpsilonGreedy
3.0,4.214827712635343,EpsilonGreedy
3.0,5.088694363346055,EpsilonGreedy
3.0,5.068999995653879,EpsilonGreedy
3.0,4.792625375100912,EpsilonGreedy
3.0,4.332840034663976,EpsilonGreedy
3.0,4.533728256784266,EpsilonGreedy
3.0,2.890505229534747,EpsilonGreedy
3.0,4.292590520423461,EpsilonGreedy
3.0,5.219038948940556,EpsilonGreedy
3.0,3.6748793935713575,EpsilonGreedy
3.0,5.149380843595849,EpsilonGreedy
3.0,5.196577073480211,EpsilonGreedy
3.0,4.683361512901662,EpsilonGreedy
3.0,3.8395082251645607,EpsilonGreedy
3.0,4.362572519230324,EpsilonGreedy
3.0,3.7179429117523424,EpsilonGreedy
3.0,5.5491201381961055,EpsilonGreedy
3.0,2.2895188193734977,EpsilonGreedy
3.0,3.453747237125701,EpsilonGreedy
3.0,2.4638260425863434,EpsilonGreedy
3.0,4.290696452293031,EpsilonGreedy
3.0,5.96240612347815,EpsilonGreedy
3.0,1.1925086592338365,EpsilonGreedy
3.0,6.052265719987157,EpsilonGreedy
3.0,4.861810269890481,EpsilonGreedy
3.0,3.1144357599512804,EpsilonGreedy
3.0,4.002149335395102,EpsilonGreedy
3.0,5.067615359950294,EpsilonGreedy
3.0,5.405819177863663,EpsilonGreedy
3.0,4.604806718320721,EpsilonGreedy
3.0,5.479013753071774,EpsilonGreedy
