Bandit,Reward,Algorithm
3.0,3.7022699167359727,ThompsonSampling
3.0,2.8963860616674024,ThompsonSampling
3.0,4.50203212158602,ThompsonSampling
3.0,4.777495734036839,ThompsonSampling
3.0,2.395629501935292,ThompsonSampling
3.0,4.185480240772497,ThompsonSampling
3.0,5.129373703924593,ThompsonSampling
3.0,4.79539352196017,ThompsonSampling
3.0,4.537861309033132,ThompsonSampling
3.0,4.346820001649338,ThompsonSampling
3.0,4.062187895622994,ThompsonSampling
3.0,4.552178475569437,ThompsonSampling
3.0,4.798734331081819,ThompsonSampling
3.0,5.199445253478645,ThompsonSampling
3.0,3.780482278193165,ThompsonSampling
3.0,4.605047291995781,ThompsonSampling
3.0,5.638719269923368,ThompsonSampling
3.0,3.7626437739926937,ThompsonSampling
3.0,2.4807878896669617,ThompsonSampling
3.0,2.1655445738707666,ThompsonSampling
3.0,2.9183026443413715,ThompsonSampling
3.0,4.763350897095286,ThompsonSampling
3.0,3.0036345688482933,ThompsonSampling
3.0,5.650860968713748,ThompsonSampling
3.0,6.416399650431554,ThompsonSampling
3.0,5.251136759705795,ThompsonSampling
3.0,3.1965525968613155,ThompsonSampling
3.0,6.015508522786235,ThompsonSampling
3.0,4.770703026065716,ThompsonSampling
3.0,2.3141370584775087,ThompsonSampling
3.0,2.9253979781085357,ThompsonSampling
3.0,3.932975973016814,ThompsonSampling
3.0,2.755688215951315,ThompsonSampling
3.0,3.3452773964858675,ThompsonSampling
3.0,3.6903384441141256,ThompsonSampling
3.0,4.218454939901021,ThompsonSampling
3.0,4.650015576196773,ThompsonSampling
3.0,3.5882690467702263,ThompsonSampling
3.0,4.1098410937239045,ThompsonSampling
3.0,5.00629627810098,ThompsonSampling
3.0,4.716110243429675,ThompsonSampling
3.0,4.372150823871754,ThompsonSampling
3.0,3.3901884052179194,ThompsonSampling
3.0,4.1588845297356904,ThompsonSampling
3.0,3.9397817664384447,ThompsonSampling
3.0,3.064951919422458,ThompsonSampling
3.0,4.170054784477776,ThompsonSampling
3.0,5.06115973882916,ThompsonSampling
3.0,4.727020915765139,ThompsonSampling
3.0,2.847202812527433,ThompsonSampling
3.0,3.9509212700251446,ThompsonSampling
3.0,3.9713512389755046,ThompsonSampling
3.0,3.4696951364270827,ThompsonSampling
3.0,2.597934841311904,ThompsonSampling
3.0,3.6817391514034705,ThompsonSampling
3.0,3.1514642666797723,ThompsonSampling
3.0,4.878930745129906,ThompsonSampling
3.0,3.165875461163366,ThompsonSampling
3.0,4.025404009294633,ThompsonSampling
3.0,4.6314361147769745,ThompsonSampling
3.0,4.516704494752211,ThompsonSampling
3.0,4.95798577126556,ThompsonSampling
3.0,6.0485021289961605,ThompsonSampling
3.0,4.271070957002909,ThompsonSampling
3.0,3.7555301568389146,ThompsonSampling
3.0,2.95670716487063,ThompsonSampling
3.0,2.9438520797623653,ThompsonSampling
3.0,4.045108163789397,ThompsonSampling
3.0,3.5023041771789942,ThompsonSampling
3.0,3.547630439473535,ThompsonSampling
3.0,3.647537528213355,ThompsonSampling
3.0,1.8756700041938972,ThompsonSampling
3.0,2.0091192526960073,ThompsonSampling
3.0,2.836613455843464,ThompsonSampling
3.0,3.9119516863398034,ThompsonSampling
3.0,4.932193079197613,ThompsonSampling
3.0,5.2845591259896265,ThompsonSampling
3.0,3.492700450028461,ThompsonSampling
3.0,2.2751478995177523,ThompsonSampling
3.0,3.6852830448743825,ThompsonSampling
3.0,5.537120879304251,ThompsonSampling
3.0,4.040708010389426,ThompsonSampling
3.0,3.6727456666408282,ThompsonSampling
3.0,3.6547889095736172,ThompsonSampling
3.0,3.8698051494645473,ThompsonSampling
3.0,2.7183655158228706,ThompsonSampling
3.0,4.394850802527865,ThompsonSampling
3.0,4.223543563836786,ThompsonSampling
3.0,3.8013407178090897,ThompsonSampling
3.0,3.057852747721973,ThompsonSampling
3.0,4.363748275929859,ThompsonSampling
3.0,4.313191122502587,ThompsonSampling
3.0,5.4827186311930065,ThompsonSampling
3.0,4.479723898535918,ThompsonSampling
3.0,2.1508270233956495,ThompsonSampling
3.0,4.644940238155193,ThompsonSampling
3.0,5.177459866021762,ThompsonSampling
3.0,5.221320607053065,ThompsonSampling
3.0,5.282266451475302,ThompsonSampling
3.0,6.656248579279419,ThompsonSampling
3.0,2.2340744637583922,ThompsonSampling
3.0,3.955620724921459,ThompsonSampling
3.0,5.034306433658216,ThompsonSampling
3.0,3.374576901375991,ThompsonSampling
3.0,3.3112398002842456,ThompsonSampling
3.0,5.009582704644955,ThompsonSampling
3.0,5.772842816142776,ThompsonSampling
3.0,3.980721627268843,ThompsonSampling
3.0,3.4636657279340106,ThompsonSampling
3.0,3.3561621977908125,ThompsonSampling
3.0,4.4311071380622975,ThompsonSampling
3.0,3.2094695176779275,ThompsonSampling
3.0,3.648182293438364,ThompsonSampling
3.0,1.9223811823426291,ThompsonSampling
3.0,2.9253714723578854,ThompsonSampling
3.0,1.7554039693006587,ThompsonSampling
3.0,4.143519636965823,ThompsonSampling
3.0,4.197023495761694,ThompsonSampling
3.0,4.109284832969006,ThompsonSampling
3.0,4.028394131700845,ThompsonSampling
3.0,3.7810109625521195,ThompsonSampling
3.0,3.1147723723839156,ThompsonSampling
3.0,4.235009613840445,ThompsonSampling
3.0,5.000611415377865,ThompsonSampling
3.0,4.546209421396835,ThompsonSampling
3.0,3.2417918644763932,ThompsonSampling
3.0,4.266554946378337,ThompsonSampling
3.0,4.041091057294879,ThompsonSampling
3.0,3.356811574564011,ThompsonSampling
3.0,5.061277454377096,ThompsonSampling
3.0,6.133832636111397,ThompsonSampling
3.0,6.260767078826041,ThompsonSampling
3.0,4.899192364694759,ThompsonSampling
3.0,3.329761603841259,ThompsonSampling
3.0,4.860676806404682,ThompsonSampling
3.0,5.010851565832953,ThompsonSampling
3.0,4.7441968271182064,ThompsonSampling
3.0,3.821700498436396,ThompsonSampling
3.0,4.0244572326800725,ThompsonSampling
3.0,2.578398694230456,ThompsonSampling
3.0,4.4024374985674735,ThompsonSampling
3.0,4.799000925943276,ThompsonSampling
3.0,5.103887733794732,ThompsonSampling
3.0,3.1970926343941626,ThompsonSampling
3.0,2.4855650377399874,ThompsonSampling
3.0,2.9381952321606466,ThompsonSampling
3.0,4.1344896518286784,ThompsonSampling
3.0,4.495327605032842,ThompsonSampling
3.0,3.5581854890164526,ThompsonSampling
3.0,4.544907167214796,ThompsonSampling
3.0,3.797050237300326,ThompsonSampling
3.0,3.0475987951307855,ThompsonSampling
3.0,4.957253242829059,ThompsonSampling
3.0,5.476826040635437,ThompsonSampling
3.0,3.4828470224411427,ThompsonSampling
3.0,4.964038619769388,ThompsonSampling
3.0,3.823360760005215,ThompsonSampling
3.0,3.7930101210325775,ThompsonSampling
3.0,3.6615212819636773,ThompsonSampling
3.0,3.5035425735431613,ThompsonSampling
3.0,3.3547387806165236,ThompsonSampling
3.0,3.944001280155311,ThompsonSampling
3.0,4.590005209773525,ThompsonSampling
3.0,5.36333445961541,ThompsonSampling
3.0,4.874364270766826,ThompsonSampling
3.0,2.211162099760138,ThompsonSampling
3.0,2.4871139925812935,ThompsonSampling
3.0,1.797040483486568,ThompsonSampling
3.0,4.000994899096189,ThompsonSampling
3.0,3.6680569482022083,ThompsonSampling
3.0,2.9067343437466313,ThompsonSampling
3.0,4.186809916750874,ThompsonSampling
3.0,3.754283455021991,ThompsonSampling
3.0,4.909610060567646,ThompsonSampling
3.0,4.951292536795685,ThompsonSampling
3.0,3.087665194578509,ThompsonSampling
3.0,3.279724374863296,ThompsonSampling
3.0,3.1471359646057033,ThompsonSampling
3.0,2.039510071880099,ThompsonSampling
3.0,5.372540070519745,ThompsonSampling
3.0,3.69513990996198,ThompsonSampling
3.0,4.310800548001072,ThompsonSampling
3.0,3.227255219674972,ThompsonSampling
3.0,3.9536633402041197,ThompsonSampling
3.0,5.330106102946765,ThompsonSampling
3.0,3.51864742095944,ThompsonSampling
3.0,3.6365321205817907,ThompsonSampling
3.0,3.5899638271061862,ThompsonSampling
3.0,4.190261545340442,ThompsonSampling
3.0,4.874334107225011,ThompsonSampling
3.0,6.79973000014377,ThompsonSampling
3.0,3.520917205640902,ThompsonSampling
3.0,4.3965518979656695,ThompsonSampling
3.0,5.029749044711279,ThompsonSampling
3.0,3.9735255425727565,ThompsonSampling
3.0,5.071531274828705,ThompsonSampling
3.0,4.022315258710295,ThompsonSampling
3.0,5.28279264875748,ThompsonSampling
3.0,5.300915343762595,ThompsonSampling
3.0,4.918169601866839,ThompsonSampling
3.0,4.638723524424818,ThompsonSampling
3.0,5.332045323837367,ThompsonSampling
3.0,3.4551857857769432,ThompsonSampling
3.0,3.637981825431429,ThompsonSampling
3.0,4.983055976246984,ThompsonSampling
3.0,4.764877361337452,ThompsonSampling
3.0,4.2028492849670895,ThompsonSampling
3.0,4.651257517109973,ThompsonSampling
3.0,4.969507442480096,ThompsonSampling
3.0,4.271485560776745,ThompsonSampling
3.0,5.918667727029725,ThompsonSampling
3.0,6.5619597690973475,ThompsonSampling
3.0,5.895913471480384,ThompsonSampling
3.0,4.828377462155719,ThompsonSampling
3.0,4.007760077538711,ThompsonSampling
3.0,5.183218662531425,ThompsonSampling
3.0,5.101146151105672,ThompsonSampling
3.0,4.439905030619679,ThompsonSampling
3.0,3.278817898803383,ThompsonSampling
3.0,3.6690582487080867,ThompsonSampling
3.0,3.8520297943290958,ThompsonSampling
3.0,3.9080065363834016,ThompsonSampling
3.0,2.984043951657565,ThompsonSampling
3.0,4.65006159685078,ThompsonSampling
3.0,3.305697645254668,ThompsonSampling
3.0,3.0841403498139552,ThompsonSampling
3.0,3.256060832283911,ThompsonSampling
3.0,2.4715310164299877,ThompsonSampling
3.0,3.6641394315436187,ThompsonSampling
3.0,5.2872674395408295,ThompsonSampling
3.0,4.407788954347945,ThompsonSampling
3.0,3.6636646544997697,ThompsonSampling
3.0,3.894445837946358,ThompsonSampling
3.0,4.420041577375615,ThompsonSampling
3.0,4.84448723593523,ThompsonSampling
3.0,3.2974389053588222,ThompsonSampling
3.0,4.0031498417000915,ThompsonSampling
3.0,4.405146767886185,ThompsonSampling
3.0,5.467627157688926,ThompsonSampling
3.0,3.4426405081851197,ThompsonSampling
3.0,3.2125957364229034,ThompsonSampling
3.0,3.469481163184331,ThompsonSampling
3.0,3.871324971757896,ThompsonSampling
3.0,5.569920310753201,ThompsonSampling
3.0,3.861849322408713,ThompsonSampling
3.0,4.653956319150313,ThompsonSampling
3.0,4.309650507146055,ThompsonSampling
3.0,4.434980884107682,ThompsonSampling
3.0,6.442209626030864,ThompsonSampling
3.0,3.2116894012484414,ThompsonSampling
3.0,2.8013820689047635,ThompsonSampling
3.0,4.233448637471331,ThompsonSampling
3.0,3.1323228838084463,ThompsonSampling
3.0,2.5651590889131626,ThompsonSampling
3.0,4.112178797162332,ThompsonSampling
3.0,2.9156039068876076,ThompsonSampling
3.0,3.5873071308900135,ThompsonSampling
3.0,5.336443254668108,ThompsonSampling
3.0,4.432088956357368,ThompsonSampling
3.0,4.30118772878625,ThompsonSampling
3.0,3.457313988488747,ThompsonSampling
3.0,4.57114348706922,ThompsonSampling
3.0,3.9859655097056175,ThompsonSampling
3.0,4.041799034088672,ThompsonSampling
3.0,2.837287479181834,ThompsonSampling
3.0,3.0051503542970144,ThompsonSampling
